carlength,carwidth,curbweight,enginesize,horsepower,doornumber,mpg,fueltype_gas,aspiration_turbo,carbody_sedan,carbody_wagon,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,drivewheel_rwd,enginetype_l,enginetype_ohc,enginetype_ohcv,fuelsystem_2bbl,fuelsystem_idi,fuelsystem_mpfi,fuelsystem_spdi,Avg_price_categorical_High,Avg_price_categorical_Medium
171.2,65.5,2823,152.0,154,2,22.5,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
176.6,66.2,2337,109.0,102,4,27.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
177.3,66.3,2507,136.0,110,2,22.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
192.7,71.4,2844,136.0,110,4,22.0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
192.7,71.4,3086,131.0,140,4,18.5,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
176.8,64.8,2395,108.0,101,2,26.0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
176.8,64.8,2395,108.0,101,4,26.0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
176.8,64.8,2710,164.0,121,2,24.5,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
176.8,64.8,2765,164.0,121,4,24.5,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
189.0,66.9,3055,164.0,121,4,22.5,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
189.0,66.9,3230,209.0,182,4,19.0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
193.8,67.9,3380,209.0,182,2,19.0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
197.0,70.9,3505,209.0,182,4,17.5,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
